2026-08-07 13:39:06 | INFO | fastapi_app | GET /user/dashboard -> 404 (4.17 ms)
2026-08-07 13:39:06 | INFO | fastapi_app | GET /user/dashboard -> 404 (3.10 ms)
2026-08-07 13:39:07 | INFO | fastapi_app | GET /user/dashboard -> 404 (5.35 ms)
2026-08-07 13:39:07 | INFO | fastapi_app | GET /user/dashboard -> 404 (2.31 ms)
2026-08-07 13:39:08 | INFO | fastapi_app | GET /user/dashboard -> 404 (7.41 ms)
2026-08-07 13:39:09 | INFO | fastapi_app | GET /user/dashboard -> 404 (5.52 ms)
2026-08-07 13:39:09 | INFO | fastapi_app | GET /user/dashboard -> 404 (5.66 ms)
2026-08-07 13:39:09 | INFO | fastapi_app | GET /user/dashboard -> 404 (3.46 ms)
2026-08-07 13:39:11 | INFO | fastapi_app | GET /user/dashboard -> 404 (6.11 ms)
2026-08-07 13:39:11 | INFO | fastapi_app | GET /user/dashboard -> 404 (3.25 ms)
2026-08-07 13:39:24 | INFO | fastapi_app | POST /auth/login -> 401 (5.04 ms)
2026-08-07 13:39:29 | INFO | fastapi_app | POST /auth/login -> 200 (370.19 ms)
2026-08-07 13:39:29 | INFO | fastapi_app | GET /user/profile -> 200 (3.78 ms)
2026-08-07 13:39:29 | INFO | fastapi_app | GET /user/dashboard -> 200 (4.11 ms)
2026-08-07 13:39:29 | INFO | fastapi_app | GET /user/dashboard -> 200 (4.85 ms)
2026-08-07 13:47:27 | INFO | fastapi_app | GET /user/profile -> 200 (10.69 ms)
2026-08-07 13:47:27 | INFO | fastapi_app | GET /user/profile -> 200 (137.68 ms)
2026-08-07 13:47:37 | INFO | fastapi_app | GET /user/profile -> 200 (9.71 ms)
2026-08-07 13:47:37 | INFO | fastapi_app | GET /user/profile -> 200 (6.23 ms)
2026-08-07 13:47:39 | INFO | fastapi_app | GET /user/profile -> 200 (5.33 ms)
2026-08-07 13:47:39 | INFO | fastapi_app | GET /user/profile -> 200 (5.75 ms)
2026-08-07 13:47:41 | INFO | fastapi_app | GET /user/profile -> 200 (7.23 ms)
2026-08-07 13:47:41 | INFO | fastapi_app | GET /user/profile -> 200 (9.11 ms)
2026-08-07 13:47:57 | INFO | fastapi_app | GET /user/profile -> 200 (7.30 ms)
2026-08-07 13:47:57 | INFO | fastapi_app | GET /user/profile -> 200 (9.82 ms)
2026-08-07 13:48:01 | INFO | fastapi_app | PUT /user/update -> 200 (7.40 ms)
2026-08-07 13:48:04 | INFO | fastapi_app | PUT /user/update -> 200 (12.01 ms)
2026-08-07 13:48:04 | INFO | fastapi_app | PUT /user/update -> 200 (8.55 ms)
2026-08-07 13:48:04 | INFO | fastapi_app | PUT /user/update -> 200 (7.63 ms)
2026-08-07 13:48:05 | INFO | fastapi_app | PUT /user/update -> 200 (9.05 ms)
2026-08-07 13:48:05 | INFO | fastapi_app | PUT /user/update -> 200 (6.99 ms)
2026-08-07 13:48:05 | INFO | fastapi_app | PUT /user/update -> 200 (8.28 ms)
2026-08-07 14:39:18 | INFO | fastapi_app | Application Started
2026-08-07 14:39:22 | INFO | fastapi_app | Application Started
2026-08-07 14:39:27 | INFO | fastapi_app | Application Started
2026-08-07 14:39:37 | INFO | fastapi_app | Application Started
2026-08-07 14:39:45 | INFO | fastapi_app | Application Started
2026-08-07 14:39:53 | INFO | fastapi_app | Application Started
2026-08-07 14:40:10 | INFO | fastapi_app | Application Started
2026-08-07 14:40:18 | INFO | fastapi_app | Application Started
2026-08-07 14:40:23 | INFO | fastapi_app | Application Started
2026-08-07 14:40:24 | INFO | fastapi_app | POST /auth/register -> 201 (300.79 ms)
2026-08-07 14:40:24 | INFO | fastapi_app | POST /auth/register -> 201 (259.78 ms)
2026-08-07 14:40:24 | INFO | fastapi_app | POST /auth/register -> 409 (1.73 ms)
2026-08-07 14:40:24 | INFO | fastapi_app | POST /auth/register -> 201 (267.48 ms)
2026-08-07 14:40:24 | INFO | fastapi_app | POST /auth/register -> 409 (2.22 ms)
2026-08-07 14:40:25 | INFO | fastapi_app | POST /auth/register -> 201 (276.04 ms)
2026-08-07 14:40:25 | INFO | fastapi_app | POST /auth/login -> 200 (421.51 ms)
2026-08-07 14:40:26 | INFO | fastapi_app | POST /auth/register -> 201 (595.86 ms)
2026-08-07 14:40:26 | INFO | fastapi_app | POST /auth/login -> 401 (489.59 ms)
2026-08-07 14:40:26 | INFO | fastapi_app | GET /user/profile -> 401 (9.34 ms)
2026-08-07 14:40:26 | INFO | fastapi_app | POST /auth/register -> 422 (5.87 ms)
2026-08-07 14:40:26 | INFO | fastapi_app | POST /auth/login -> 401 (6.08 ms)
2026-08-07 14:40:27 | INFO | fastapi_app | POST /auth/register -> 422 (2.73 ms)
2026-08-07 14:40:27 | INFO | fastapi_app | POST /auth/login -> 401 (5.11 ms)
2026-08-07 14:40:27 | INFO | fastapi_app | POST /auth/register -> 422 (1.64 ms)
2026-08-07 14:40:27 | INFO | fastapi_app | POST /auth/login -> 401 (4.14 ms)
2026-08-07 14:40:27 | INFO | fastapi_app | POST /auth/register -> 422 (1.92 ms)
2026-08-07 14:40:27 | INFO | fastapi_app | POST /auth/login -> 401 (4.42 ms)
2026-08-07 14:40:27 | INFO | fastapi_app | POST /auth/register -> 422 (2.27 ms)
2026-08-07 14:40:27 | INFO | fastapi_app | POST /auth/login -> 401 (4.19 ms)
2026-08-07 14:40:27 | INFO | fastapi_app | POST /auth/register -> 422 (2.23 ms)
2026-08-07 14:40:27 | INFO | fastapi_app | POST /auth/login -> 401 (4.79 ms)
2026-08-07 14:40:45 | INFO | fastapi_app | Application Started
2026-08-07 14:40:52 | INFO | fastapi_app | Application Started
2026-08-07 14:40:56 | INFO | fastapi_app | Application Started
2026-08-07 14:40:57 | INFO | fastapi_app | POST /auth/register -> 201 (309.22 ms)
2026-08-07 14:40:57 | INFO | fastapi_app | POST /auth/register -> 201 (309.66 ms)
2026-08-07 14:40:57 | INFO | fastapi_app | POST /auth/register -> 409 (2.03 ms)
2026-08-07 14:40:57 | INFO | fastapi_app | POST /auth/register -> 201 (309.57 ms)
2026-08-07 14:40:57 | INFO | fastapi_app | POST /auth/register -> 409 (3.10 ms)
2026-08-07 14:40:58 | INFO | fastapi_app | POST /auth/register -> 201 (304.54 ms)
2026-08-07 14:40:58 | INFO | fastapi_app | POST /auth/login -> 200 (363.69 ms)
2026-08-07 14:40:59 | INFO | fastapi_app | POST /auth/register -> 201 (672.71 ms)
2026-08-07 14:40:59 | INFO | fastapi_app | POST /auth/login -> 401 (541.60 ms)
2026-08-07 14:40:59 | INFO | fastapi_app | GET /user/profile -> 401 (7.05 ms)
2026-08-07 14:41:00 | INFO | fastapi_app | POST /auth/register -> 201 (554.72 ms)
2026-08-07 14:41:00 | INFO | fastapi_app | POST /auth/login -> 200 (327.43 ms)
2026-08-07 14:41:00 | INFO | fastapi_app | GET /user/profile -> 200 (3.37 ms)
2026-08-07 14:41:01 | INFO | fastapi_app | POST /auth/register -> 201 (484.33 ms)
2026-08-07 14:41:01 | INFO | fastapi_app | POST /auth/login -> 200 (498.09 ms)
2026-08-07 14:41:01 | INFO | fastapi_app | GET /user/dashboard -> 200 (3.19 ms)
2026-08-07 14:41:02 | INFO | fastapi_app | POST /auth/register -> 201 (416.25 ms)
2026-08-07 14:41:02 | INFO | fastapi_app | POST /auth/login -> 200 (524.17 ms)
2026-08-07 14:41:02 | INFO | fastapi_app | PUT /user/update -> 200 (28.81 ms)
2026-08-07 14:41:03 | INFO | fastapi_app | POST /auth/register -> 201 (404.69 ms)
2026-08-07 14:41:03 | INFO | fastapi_app | POST /auth/login -> 200 (391.90 ms)
2026-08-07 14:41:03 | INFO | fastapi_app | GET /admin/users -> 403 (11.27 ms)
2026-08-07 14:41:04 | INFO | fastapi_app | POST /auth/register -> 201 (494.99 ms)
2026-08-07 14:41:04 | INFO | fastapi_app | POST /auth/login -> 200 (544.55 ms)
2026-08-07 14:41:04 | INFO | fastapi_app | POST /products -> 201 (30.48 ms)
2026-08-07 14:41:04 | INFO | fastapi_app | GET /products -> 200 (6.94 ms)
2026-08-07 14:41:04 | INFO | fastapi_app | GET /products/1 -> 200 (6.97 ms)
2026-08-07 14:41:04 | INFO | fastapi_app | PUT /products/1 -> 200 (27.87 ms)
2026-08-07 14:41:04 | INFO | fastapi_app | DELETE /products/1 -> 200 (22.70 ms)
2026-08-07 14:41:04 | INFO | fastapi_app | GET /products/1 -> 404 (7.54 ms)
2026-08-07 14:41:05 | INFO | fastapi_app | POST /auth/register -> 201 (461.93 ms)
2026-08-07 14:41:05 | INFO | fastapi_app | POST /auth/login -> 200 (473.61 ms)
2026-08-07 14:41:06 | INFO | fastapi_app | POST /auth/register -> 201 (429.69 ms)
2026-08-07 14:41:06 | INFO | fastapi_app | POST /auth/login -> 200 (442.18 ms)
